Function,Category,Subcategory,2025,Current ,2026 Target,2027 estimate,,Project or improvements,Score Impact,Notes,Implementation Examples,Informative References,SSDF Reference,,Standards Owner,Standards Name/Reference,Standards Notes
,,"GV.RM-06: A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated",2.0,2.5,2.5,2.5,,GRC Tool,,,"Ex1: Establish criteria for using a quantitative approach to cybersecurity risk analysis, and specify probability and exposure formulas
Ex2: Create and use templates (e.g., a risk register) to document cybersecurity risk information (e.g., risk description, exposure, treatment, and ownership)
Ex3: Establish criteria for risk prioritization at the appropriate levels within the enterprise
Ex4: Use a consistent list of risk categories to support integrating, aggregating, and comparing cybersecurity risks","CRI Profile v2.0: GV.RM-06
CRI Profile v2.0: GV.RM-06.01
CSF v1.1: ID.RM-1
SP 800-221A: GV.RR-2
SP 800-53 Rev 5.1.1: PM-09
SP 800-53 Rev 5.1.1: PM-18
SP 800-53 Rev 5.1.1: PM-28
SP 800-53 Rev 5.1.1: PM-30
SP 800-53 Rev 5.1.1: RA-03",,,,,
,,"GV.RM-07: Strategic opportunities (i.e., positive risks) are characterized and are included in organizational cybersecurity risk discussions",2.0,2.0,2.5,2.5,,,,New in 2.0,"Ex1: Define and communicate guidance and methods for identifying opportunities and including them in risk discussions (e.g., strengths, weaknesses, opportunities, and threats [SWOT] analysis)
Ex2: Identify stretch goals and document them
Ex3: Calculate, document, and prioritize positive risks alongside negative risks","CRI Profile v2.0: GV.RM-07
CRI Profile v2.0: GV.RM-07.01
SP 800-53 Rev 5.1.1: PM-09
SP 800-53 Rev 5.1.1: PM-18
SP 800-53 Rev 5.1.1: PM-28
SP 800-53 Rev 5.1.1: PM-30
SP 800-53 Rev 5.1.1: RA-03",,,,,
,"Roles, Responsibilities, and Authorities (GV.RR): Cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated","GV.RR-01: Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving",2.0,2.5,2.5,2.5,,Establish & Document Processes and Procedure,,New in 2.0,"Ex1: Leaders (e.g., directors) agree on their roles and responsibilities in developing, implementing, and assessing the organization's cybersecurity strategy
Ex2: Share leaders' expectations regarding a secure and ethical culture, especially when current events present the opportunity to highlight positive or negative examples of cybersecurity risk management
Ex3: Leaders direct the CISO to maintain a comprehensive cybersecurity risk strategy and review and update it at least annually and after major events
Ex4: Conduct reviews to ensure adequate authority and coordination among those responsible for managing cybersecurity risk","CIS Controls v8.0: 14.1
CRI Profile v2.0: GV.RR-01
CRI Profile v2.0: GV.RR-01.01
CRI Profile v2.0: GV.RR-01.02
CRI Profile v2.0: GV.RR-01.03
CRI Profile v2.0: GV.RR-01.04
CRI Profile v2.0: GV.RR-01.05
SP 800-218: PO.2.3
SP 800-53 Rev 5.1.1: PM-02
SP 800-53 Rev 5.1.1: PM-19
SP 800-53 Rev 5.1.1: PM-23
SP 800-53 Rev 5.1.1: PM-24
SP 800-53 Rev 5.1.1: PM-29",,,,,
,,"GV.RR-02: Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced",2.5,2.5,3.0,3.0,,,,"This should be at 3.0 based on our ISMS, refinements in 2026, more clearly calling this out in roles","Ex1: Document risk management roles and responsibilities in policy
Ex2: Document who is responsible and accountable for cybersecurity risk management activities and how those teams and individuals are to be consulted and informed
Ex3: Include cybersecurity responsibilities and performance requirements in personnel descriptions
Ex4: Document performance goals for personnel with cybersecurity risk management responsibilities, and periodically measure performance to identify areas for improvement
Ex5: Clearly articulate cybersecurity responsibilities within operations, risk functions, and internal audit functions","CIS Controls v8.0: 14.9
CRI Profile v2.0: GV.RR-02
CRI Profile v2.0: GV.RR-02.01
CRI Profile v2.0: GV.RR-02.02
CRI Profile v2.0: GV.RR-02.03
CRI Profile v2.0: GV.RR-02.04
CRI Profile v2.0: GV.RR-02.05
CRI Profile v2.0: GV.RR-02.06
CRI Profile v2.0: GV.RR-02.07
CSF v1.1: ID.AM-6
CSF v1.1: ID.GV-2
CSF v1.1: DE.DP-1
SP 800-218: PO.2.1
SP 800-221A: GV.RR-1
SP 800-221A: GV.RR-2
SP 800-221A: GV.OV-2
SP 800-53 Rev 5.1.1: PM-02
SP 800-53 Rev 5.1.1: PM-13
SP 800-53 Rev 5.1.1: PM-19
SP 800-53 Rev 5.1.1: PM-23
SP 800-53 Rev 5.1.1: PM-24
SP 800-53 Rev 5.1.1: PM-29",,,,,
,,"GV.RR-03: Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies",2.0,2.5,2.5,2.5,,,,,"Ex1: Conduct periodic management reviews to ensure that those given cybersecurity risk management responsibilities have the necessary authority
Ex2: Identify resource allocation and investment in line with risk tolerance and response
Ex3: Provide adequate and sufficient people, process, and technical resources to support the cybersecurity strategy","CRI Profile v2.0: GV.RR-03
CRI Profile v2.0: GV.RR-03.01
CRI Profile v2.0: GV.RR-03.02
CRI Profile v2.0: GV.RR-03.03
CSF v1.1: ID.RM-1
SP 800-221A: GV.RR-2
SP 800-53 Rev 5.1.1: PM-03",,,,,
,,GV.RR-04: Cybersecurity is included in human resources practices,3.5,3.5,4.0,4.0,,,,"This should be 4.0, need requirements in job descriptions, neo in kb4, policy acks","Ex1: Integrate cybersecurity risk management considerations into human resources processes (e.g., personnel screening, onboarding, change notification, offboarding)
Ex2: Consider cybersecurity knowledge to be a positive factor in hiring, training, and retention decisions
Ex3: Conduct background checks prior to onboarding new personnel for sensitive roles, and periodically repeat background checks for personnel with such roles
Ex4: Define and enforce obligations for personnel to be aware of, adhere to, and uphold security policies as they relate to their roles","CIS Controls v8.0: 6.1
CIS Controls v8.0: 6.2
CRI Profile v2.0: GV.RR-04
CRI Profile v2.0: GV.RR-04.01
CRI Profile v2.0: GV.RR-04.02
CRI Profile v2.0: GV.RR-04.03
CSF v1.1: PR.IP-11
SP 800-53 Rev 5.1.1: PM-13
SP 800-53 Rev 5.1.1: PS-01
SP 800-53 Rev 5.1.1: PS-07
SP 800-53 Rev 5.1.1: PS-09",,,,,
,"Policy (GV.PO): Organizational cybersecurity policy is established, communicated, and enforced","GV.PO-01: Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",3.0,3.5,4.0,4.0,,Policy communication strategy established and documented.,,This should be 3.0. GRC tool improve management of this.,"Ex1: Create, disseminate, and maintain an understandable, usable risk management policy with statements of management intent, expectations, and direction
Ex2: Periodically review policy and supporting processes and procedures to ensure that they align with risk management strategy objectives and priorities, as well as the high-level direction of the cybersecurity policy
Ex3: Require approval from senior management on policy
Ex4: Communicate cybersecurity risk management policy and supporting processes and procedures across the organization
Ex5: Require personnel to acknowledge receipt of policy when first hired, annually, and whenever policy is updated","CRI Profile v2.0: GV.PO-01
CRI Profile v2.0: GV.PO-01.01
CRI Profile v2.0: GV.PO-01.02
CRI Profile v2.0: GV.PO-01.03
CRI Profile v2.0: GV.PO-01.04
CRI Profile v2.0: GV.PO-01.05
CRI Profile v2.0: GV.PO-01.06
CRI Profile v2.0: GV.PO-01.07
CRI Profile v2.0: GV.PO-01.08
CSF v1.1: ID.GV-1
SP 800-221A: GV.PO-1
SP 800-53 Rev 5.1.1: AC-01
SP 800-53 Rev 5.1.1: AT-01
SP 800-53 Rev 5.1.1: AU-01
SP 800-53 Rev 5.1.1: CA-01
SP 800-53 Rev 5.1.1: CM-01
SP 800-53 Rev 5.1.1: CP-01
SP 800-53 Rev 5.1.1: IA-01
SP 800-53 Rev 5.1.1: IR-01
SP 800-53 Rev 5.1.1: MA-01
SP 800-53 Rev 5.1.1: MP-01
SP 800-53 Rev 5.1.1: PE-01
SP 800-53 Rev 5.1.1: PL-01
SP 800-53 Rev 5.1.1: PM-01
SP 800-53 Rev 5.1.1: PS-01
SP 800-53 Rev 5.1.1: PT-01
SP 800-53 Rev 5.1.1: RA-01
SP 800-53 Rev 5.1.1: SA-01
SP 800-53 Rev 5.1.1: SC-01
SP 800-53 Rev 5.1.1: SI-01
SP 800-53 Rev 5.1.1: SR-01",,,,,
,,"GV.PO-02: Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission",3.0,3.5,4.0,4.0,,,,This should be 3.0. GRC tool improve management of this.,"Ex1: Update policy based on periodic reviews of cybersecurity risk management results to ensure that policy and supporting processes and procedures adequately maintain risk at an acceptable level
Ex2: Provide a timeline for reviewing changes to the organization's risk environment (e.g., changes in risk or in the organization's mission objectives), and communicate recommended policy updates
Ex3: Update policy to reflect changes in legal and regulatory requirements
Ex4: Update policy to reflect changes in technology (e.g., adoption of artificial intelligence) and changes to the business (e.g., acquisition of a new business, new contract requirements)","CRI Profile v2.0: GV.PO-02
CRI Profile v2.0: GV.PO-02.01
CSF v1.1: ID.GV-1
SP 800-221A: GV.PO-1
SP 800-53 Rev 5.1.1: AC-01
SP 800-53 Rev 5.1.1: AT-01
SP 800-53 Rev 5.1.1: AU-01
SP 800-53 Rev 5.1.1: CA-01
SP 800-53 Rev 5.1.1: CM-01
SP 800-53 Rev 5.1.1: CP-01
SP 800-53 Rev 5.1.1: IA-01
SP 800-53 Rev 5.1.1: IR-01
SP 800-53 Rev 5.1.1: MA-01
SP 800-53 Rev 5.1.1: MP-01
SP 800-53 Rev 5.1.1: PE-01
SP 800-53 Rev 5.1.1: PL-01
SP 800-53 Rev 5.1.1: PM-01
SP 800-53 Rev 5.1.1: PS-01
SP 800-53 Rev 5.1.1: PT-01
SP 800-53 Rev 5.1.1: RA-01
SP 800-53 Rev 5.1.1: SA-01
SP 800-53 Rev 5.1.1: SC-01
SP 800-53 Rev 5.1.1: SI-01
SP 800-53 Rev 5.1.1: SR-01",,,,,
,"Oversight (GV.OV): Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GV.OV-01: Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,2.0,2.5,3.0,3.0,,,,"New in 2.0, grc will help","Ex1: Measure how well the risk management strategy and risk results have helped leaders make decisions and achieve organizational objectives
Ex2: Examine whether cybersecurity risk strategies that impede operations or innovation should be adjusted","CRI Profile v2.0: GV.OV-01
CRI Profile v2.0: GV.OV-01.01
CRI Profile v2.0: GV.OV-01.02
CRI Profile v2.0: GV.OV-01.03
SP 800-221A: GV.AD-3
SP 800-53 Rev 5.1.1: AC-01
SP 800-53 Rev 5.1.1: AT-01
SP 800-53 Rev 5.1.1: AU-01
SP 800-53 Rev 5.1.1: CA-01
SP 800-53 Rev 5.1.1: CM-01
SP 800-53 Rev 5.1.1: CP-01
SP 800-53 Rev 5.1.1: IA-01
SP 800-53 Rev 5.1.1: IR-01
SP 800-53 Rev 5.1.1: MA-01
SP 800-53 Rev 5.1.1: MP-01
SP 800-53 Rev 5.1.1: PE-01
SP 800-53 Rev 5.1.1: PL-01
SP 800-53 Rev 5.1.1: PM-01
SP 800-53 Rev 5.1.1: PS-01
SP 800-53 Rev 5.1.1: PT-01
SP 800-53 Rev 5.1.1: RA-01
SP 800-53 Rev 5.1.1: SA-01
SP 800-53 Rev 5.1.1: SC-01
SP 800-53 Rev 5.1.1: SI-01
SP 800-53 Rev 5.1.1: SR-01
SP 800-53 Rev 5.1.1: PM-09
SP 800-53 Rev 5.1.1: PM-18
SP 800-53 Rev 5.1.1: PM-30
SP 800-53 Rev 5.1.1: PM-31
SP 800-53 Rev 5.1.1: RA-07
SP 800-53 Rev 5.1.1: SR-06",,,,,
,,GV.OV-02: The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,2.0,2.5,3.0,3.0,,,,"New in 2.0, grc will help","Ex1: Review audit findings to confirm whether the existing cybersecurity strategy has ensured compliance with internal and external requirements
Ex2: Review the performance oversight of those in cybersecurity-related roles to determine whether policy changes are necessary
Ex3: Review strategy in light of cybersecurity incidents","CRI Profile v2.0: GV.OV-02
CRI Profile v2.0: GV.OV-02.01
CRI Profile v2.0: GV.OV-02.02
SP 800-221A: GV.AD-2
SP 800-221A: GV.AD-3
SP 800-221A: MA.RM-8
SP 800-53 Rev 5.1.1: PM-09
SP 800-53 Rev 5.1.1: PM-19
SP 800-53 Rev 5.1.1: PM-30
SP 800-53 Rev 5.1.1: PM-31
SP 800-53 Rev 5.1.1: RA-07
SP 800-53 Rev 5.1.1: SR-06",,,,,
,,GV.OV-03: Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,2.0,2.5,3.0,3.0,,,,"New in 2.0, grc will help","Ex1: Review key performance indicators (KPIs) to ensure that organization-wide policies and procedures achieve objectives
Ex2: Review key risk indicators (KRIs) to identify risks the organization faces, including likelihood and potential impact
Ex3: Collect and communicate metrics on cybersecurity risk management with senior leadership","CRI Profile v2.0: GV.OV-03
CRI Profile v2.0: GV.OV-03.01
CRI Profile v2.0: GV.OV-03.02
SP 800-221A: GV.OV-2
SP 800-221A: MA.RM-2
SP 800-53 Rev 5.1.1: PM-04
SP 800-53 Rev 5.1.1: PM-06
SP 800-53 Rev 5.1.1: RA-07
SP 800-53 Rev 5.1.1: SR-06",,,,,
,"Cybersecurity Supply Chain Risk Management (GV.SC): Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders","GV.SC-01: A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders",2.5,2.5,3.0,3.0,,,,This should be 3.0. GRC tool improve management of this. We need to improve on communication and tie in to procurement.,"Ex1: Establish a strategy that expresses the objectives of the cybersecurity supply chain risk management program
Ex2: Develop the cybersecurity supply chain risk management program, including a plan (with milestones), policies, and procedures that guide implementation and improvement of the program, and share the policies and procedures with the organizational stakeholders
Ex3: Develop and implement program processes based on the strategy, objectives, policies, and procedures that are agreed upon and performed by the organizational stakeholders
Ex4: Establish a cross-organizational mechanism that ensures alignment between functions that contribute to cybersecurity supply chain risk management, such as cybersecurity, IT, operations, legal, human resources, and engineering","CIS Controls v8.0: 15.2
CRI Profile v2.0: GV.SC-01
CRI Profile v2.0: GV.SC-01.01
CRI Profile v2.0: GV.SC-01.02
CSF v1.1: ID.SC-1
SP 800-221A: GV.PO-1
SP 800-53 Rev 5.1.1: PM-30
SP 800-53 Rev 5.1.1: SR-02
SP 800-53 Rev 5.1.1: SR-03",,,,,
,,"GV.SC-02: Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally",2.0,2.0,2.5,2.5,,Improved documentation,,,"Ex1: Identify one or more specific roles or positions that will be responsible and accountable for planning, resourcing, and executing cybersecurity supply chain risk management activities
Ex2: Document cybersecurity supply chain risk management roles and responsibilities in policy
Ex3: Create responsibility matrixes to document who will be responsible and accountable for cybersecurity supply chain risk management activities and how those teams and individuals will be consulted and informed
Ex4: Include cybersecurity supply chain risk management responsibilities and performance requirements in personnel descriptions to ensure clarity and improve accountability
Ex5: Document performance goals for personnel with cybersecurity risk management-specific responsibilities, and periodically measure them to demonstrate and improve performance
Ex6: Develop roles and responsibilities for suppliers, customers, and business partners to address shared responsibilities for applicable cybersecurity risks, and integrate them into organizational policies and applicable third-party agreements
Ex7: Internally communicate cybersecurity supply chain risk management roles and responsibilities for third parties
Ex8: Establish rules and protocols for information sharing and reporting processes between the organization and its suppliers","CIS Controls v8.0: 15.4
CRI Profile v2.0: GV.SC-02
CRI Profile v2.0: GV.SC-02.01
CSF v1.1: ID.AM-6
SP 800-218: PO.2.1
SP 800-221A: GV.RR-1
SP 800-221A: GV.RR-2
SP 800-53 Rev 5.1.1: SR-02
SP 800-53 Rev 5.1.1: SR-03
SP 800-53 Rev 5.1.1: SR-05",,,,,
,,"GV.SC-03: Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",2.0,2.5,3.0,3.0,,GRC Tool or Solution,,,"Ex1: Identify areas of alignment and overlap with cybersecurity and enterprise risk management
Ex2: Establish integrated control sets for cybersecurity risk management and cybersecurity supply chain risk management
Ex3: Integrate cybersecurity supply chain risk management into improvement processes
Ex4: Escalate material cybersecurity risks in supply chains to senior management, and address them at the enterprise risk management level","CRI Profile v2.0: GV.SC-03
CRI Profile v2.0: GV.SC-03.01
CSF v1.1: ID.SC-2
SP 800-218: PW.4.1
SP 800-221A: GV.CT-2
SP 800-221A: GV.CT-3
SP 800-53 Rev 5.1.1: AC-01
SP 800-53 Rev 5.1.1: AT-01
SP 800-53 Rev 5.1.1: AU-01
SP 800-53 Rev 5.1.1: CA-01
SP 800-53 Rev 5.1.1: CM-01
SP 800-53 Rev 5.1.1: CP-01
SP 800-53 Rev 5.1.1: IA-01
SP 800-53 Rev 5.1.1: IR-01
SP 800-53 Rev 5.1.1: MA-01
SP 800-53 Rev 5.1.1: MP-01
SP 800-53 Rev 5.1.1: PE-01
SP 800-53 Rev 5.1.1: PL-01
SP 800-53 Rev 5.1.1: PM-01
SP 800-53 Rev 5.1.1: PS-01
SP 800-53 Rev 5.1.1: PT-01
SP 800-53 Rev 5.1.1: RA-01
SP 800-53 Rev 5.1.1: SA-01
SP 800-53 Rev 5.1.1: SC-01
SP 800-53 Rev 5.1.1: SI-01
SP 800-53 Rev 5.1.1: SR-01
SP 800-53 Rev 5.1.1: PM-09
SP 800-53 Rev 5.1.1: PM-18
SP 800-53 Rev 5.1.1: PM-30
SP 800-53 Rev 5.1.1: PM-31
SP 800-53 Rev 5.1.1: SR-02
SP 800-53 Rev 5.1.1: SR-03
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-07",,,,,
